"Toyota Camry XV50 [рестайлинг] , 2017",16000$,"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",httdataps://i.cars.kg/preview/r/wfBosKgVw7OfoBJn2ebjwg/1080x-/20231115/7515ec65142e0cd0a8e037192a9c6a93.jpg
"Hyundai Starex , 2018",27200$,"Минивэн / Бус,
                                        серый,
                                                    левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/KSETTUdRDqGqVDntfcpEzA/1080x-/20230916/bbd418178d42526b68bfbce444e9c544.jpg
"Kia Morning , 2017",8800$,"Хэтчбек,
                                        красный,
                                        1.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,",https://i.cars.kg/preview/r/3u5MT8DLpd933TMoF3GZ_g/1080x-/20231004/b066fd5897b22070288030a905b8f0fe.jpg
"Toyota Camry , 2018",19000$,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/CZ-1i0fD65olwr4ExM2Kig/1080x-/20231115/451d0bdebd6c24c9e820b1c08bef02c1.jpeg
"Hyundai Sonata , 2018",18$,"Седан,
                                        серый,
                                        2.0 л.,
                                        левый руль,
                                        газ,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/nmXRDpG6Rc25DUta5WJPlw/1080x-/20231115/a624045a3068387bc93551c8f7617587.jpg
"Mazda 626 GF Хетчбэк , 1997",5038$,"Хэтчбек,
                                        темно-синий,
                                        2 л.,
                                        левый руль,
                                        бензин,
                                        механика,
                                        передний,",https://i.cars.kg/preview/r/i_a1fU-KM4AhrWW1gphmBg/1080x-/20231204/4124ab2d411232a8811ecfec24932f43.jpg
"Lexus ES 5 поколение [рестайлинг] Седан , 2010",17200$,"Седан,
                                        серебряный,
                                        3.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/_BR8gs2VUM5cweFMlt1JVA/1080x-/20231112/d9305d08ee8d8b05b61369264ee24c20.jpeg
"Lexus ES 6 поколение Седан , 2013",21500$,"Седан,
                                        серебряный,
                                        2.5 л.,
                                        левый руль,
                                        гибрид,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/r7dng87clS6EE1L8bdYexA/1080x-/20231112/87242722e47fea35283bc4835e422e0c.jpeg
"Honda Accord 7 поколение Седан , 2005",8400$,"Седан,",https://i.cars.kg/preview/r/zOoBbgFHAmTadJ1ciLGd4A/1080x-/20231211/cdd3b978a80f9ab1130f7d3119963af8.jpeg
"Toyota Mark II X100 Седан , 1996",5000$,"Седан,
                                        белый жемчуг,
                                        2 л.,
                                        правый руль,
                                        бензин,
                                        автомат,
                                        задний,",https://i.cars.kg/preview/r/exjB-UULfmelfb9Rs4X2kg/1080x-/20231210/78d72f73bbbdcb4d61b90d3d9e382575.jpg
"Mitsubishi Galant 8 поколение Седан , 2001",3918$,"Седан,
                                        серебряный,
                                        2.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/YpTFElJ8-ffRzgXiw2v-8Q/1080x-/20231211/8f3fbbed446dac04f156ade7fb2eff68.jpg
"Kia Rio 3 поколение Седан 4-дв. , 2015",9400$,"Седан,
                                        мокрый асфальт,
                                        1.4 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        передний,",https://i.cars.kg/preview/r/ButMeypNhTcSqszkLk6gPQ/1080x-/20231121/3e4f99d20b569849cb9cf41f3f08bd70.jpeg
"Lexus GX 2 поколение [рестайлинг] Внедорожник , 2014",45500$,"Внедорожник / Пикап,
                                        белый,
                                        4.6 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/hV5u8xQ92ua5rY36Hu3Y1Q/1080x-/20231123/a5570b7b652ade61d185f18e9f6a678a.jpeg
"Hyundai Santa Fe DM Grand кроссовер 5-дв. , 2016",22000$,"Кроссовер,
                                        темно-синий,
                                        2.2 л.,
                                        левый руль,
                                        дизель,
                                        автомат,
                                        полный подключаемый,",https://i.cars.kg/preview/r/SOIPCKeLgwF4xtuBx6qZXg/1080x-/20231124/4cadbe53b489af95b035e3206c2ab848.jpeg
"Toyota RAV4 , 2021",22861$,"Внедорожник / Пикап,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/gyzTumjq-dVxhlILB-3rug/1080x-/20231210/2b80af395091a8734c2aa9c3a13cf6bd.png
"Toyota Camry , 2023",20880$,"Седан,
                                        черный,
                                        2.5 л.,
                                        левый руль,
                                        бензин,
                                        автомат,
                                        постоянный полный,",https://i.cars.kg/preview/r/WUGa936kq1P438gl8yRw-w/1080x-/20231210/aa425e5b8be46aab0208ff2955432f7c.png
"Mercedes-Benz B-Класс W245 [рестайлинг] Хетчбэк , 2009",10500$,"Хэтчбек,
                                        белый,
                                        1.7 л.,
                                        левый руль,
                                        бензин,
                                        вариатор,
                                        передний,",https://i.cars.kg/preview/r/Q00A2qfwhk4jLeTfnyw7yw/1080x-/20231127/a051166ffefdf3b5a3928082ad8dedc2.jpg
